afghani,green,0
afghanistan,green,3
AFI,green,0
afraid,green,0
Africa,green,0
African,green,0
African American,green,0
after,green,0
afternoon,green,0
afterwards,green,0
ag,green,1
again,green,0
against,green,0
age,green,0
aged,green,1
ageing,green,0
agencies,green,0
agency,green,0
agenda,green,0
agender,green,0
agent,green,0
agents,green,0
ageplay,green,0
agere,green,0
ageregression,green,0
ages,green,0
aggregate,green,0
aggressive,green,1
aggressor,green,0
aging,green,0
Agnes,green,0
Agnostic,green,0
ago,green,0
agree,green,0
agreed,green,0
agreement,green,0
agreements,green,0
agrees,green,2
agricultural,green,0
agriculture,green,0
ah,green,0
ahead,green,0
ahole,green,0
ai,green,0
aid,green,0
Aidan,green,0
aide,green,0
Aiden,green,1
AIDS,yellow,3
aight,green,0
aim,green,0
aimed,green,0
Aimee,green,0
aims,green,0
air,green,0
aircraft,green,0
airfare,green,0
airline,green,2
airlines,green,4
airplane,green,0
airplanes,green,0
airport,green,0
airports,green,0
Aj,green,0
Ajit Pai,green,0
ak,green,0
AK 47,green,0
AK47,green,0
aka,green,4
al,green,0
Al Franken,green,0
Al Jazeera Arabic,green,0
Al Qaeda,yellow,0
Al Qaida,yellow,2
Al Qassam Brigade,green,4
Al van der Beek,green,0
ala,green,0
Alabama,green,0
alabama hot pocket,green,2
Alamby Leung,green,0
Alan,green,0
Alan Becker,green,0
Alan Melikdjanian,green,0
Alana,green,0
alarm,green,0
alarmed,green,0
alarming,green,0
alaska,green,1
alaskan pipeline,green,0
Alastair Aiken,green,0
albania,green,0
albany,green,0
albert,green,0
alberta,green,0
album,green,0
albums,green,0
albuquerque,green,0
alcohol,green,3
alcoholic,green,3
alcoholics,green,3
alcoholism,green,0
Alec,green,0
alert,green,1
alerts,green,0
Alex,green,0
Alex Boivin,green,0
Alex Day,green,0
Alex Jones,green,5
Alexa,green,0
Alexa Goddard,green,0
Alexander,green,0
Alexandra,green,2
Alexandra Dreyfus,green,0
alexandria,green,1
Alexia,green,0
Alexis,green,0
Alexis Jordan,green,0
Alfie Deyes,green,0
alfred,green,0
algebra,green,0
algeria,green,0
algorithm,green,0
algorithms,green,0
Ali,green,0
alias,green,0
Alice,green,0
alicia,green,0
alien,green,0
Aliens,green,0
align,green,0
alignment,green,0
alike,green,0
Alina,green,0
Alison,green,0
alive,green,0
all,green,0
all lives matter,green,1
allah,green,0
allan,green,0
allegation,yellow,0
allegations,yellow,4
alleged,green,0
allen,green,0
Allergic,green,0
Allergies,green,0
allergy,green,0
alliance,green,0
Allie,green,0
allied,green,0
allies,green,0
Allison,green,0
allocated,green,0
allocation,green,1
allow,green,0
allowance,green,0
allowed,green,0
allowing,green,0
allows,green,0
alloy,green,0
ally,green,0
Ally Law,green,0
almost,green,0
alone,green,0
along,green,0
alongside,green,0
alot,green,0
aloud,green,0
alpha,green,0
alphabet,green,0
alphabetical,green,0
alphabetically,green,0
alpine,green,0
already,green,0
also,green,0
alt,green,0
alt right,green,1
altar,green,0
alter,green,0
altered,green,0
alternate,green,0
alternative,green,0
alternatively,green,0
alternatives,green,0
although,green,0
alto,green,0
altogether,green,0
altright,green,0
aluminium,green,0
aluminum,green,0
alumni,green,0
always,green,0
Alyssa,green,0
Alzheimers,green,0
am,green,0
Amanda,green,0
Amanda Baggs,green,0
Amanda Lee,green,0
Amanda Todd,green,3
amateur,green,1
amateurs,green,0
amaze,green,0
amazed,green,0
amazing,green,0
amazon,green,0
Amazon Rainforest,green,0
ambassador,green,0
Amber,green,0
Amber Lee Ettinger,green,0
Amber Liu,green,0
ambien,green,0
ambient,green,0
ambition,green,0
ambitious,green,0
ambulance,green,0
Ambush,green,0
amd,green,0
Amelia,green,0
amend,green,0
amended,green,0
amendment,green,0
amendments,green,0
amenities,green,1
amenity,green,0
America,green,0
American,green,0
American Eagle,green,0
American Football,green,0
American Idiot,green,0
American Idol,green,0
americans,green,0
americas,green,1
amino,green,0
Amir Blumenfeld,green,0
among,green,0
amongst,green,0
Amos Yee,green,0
amount,green,0
amounts,green,0
Amoxil,green,0
amp,green,0
amphetamin,green,3
amphetamines,green,0
ampland,yellow,4
amplifier,green,0
amsterdam,green,0
amuse,green,0
amused,green,0
amusement,green,0
amusing,green,0
Amy,green,0
Amy Coney Barrett,green,0
Amy Walker,green,0
an,green,0
Ana,green,0
Ana Kasparian,green,0
anaheim,green,0
anal,yellow,0
analog,green,0
analprobe,green,0
analyse,green,0
analyses,green,0
analysis,green,0
analyst,green,0
analysts,green,0
analytical,green,0
analyze,green,0
analyzed,green,0
Anaphylaxis,green,0
anarchist,green,0
Anarcho-communism,green,0
Anarchy,green,0
Anastasia,green,0
anatomy,green,0
